job_title,company,country,city,salary_min,salary_max,currency,remote_type,experience_level,required_skills,posted_date,source,job_description,salary_avg
Applied AI Engineer,CXG Holdings Inc,UNITED STATES,Smithtown,75000.0,75000.0,USD,Hybrid,Mid-level,,2026-02-05,Adzuna,"Job Description Job Description Applied AI Engineer (Exploratory / Early Hire) Company: CXG Location: Smithtown, NY (Local / Hybrid preferred) Type: Full-time or Contract (open to discussion) Compensation: Flexible, based on scope and experience About CXG CXG builds and operates broker-dealers registered with FINRA and the SEC. We help financial firms launch faster, stay compliant, and operate efficiently in a highly regulated environment. We are exploring how AI can be responsibly integrated i…",75000.0
Python/AI Engineer,Collabera,UNITED STATES,North Carolina,115000.0,115000.0,USD,Hybrid,Mid-level,"Python, SQL, RAG",2026-02-18,Adzuna,"Job Title: Python/AI Engineer Location: Charlotte, NC Work Arrangement: Hybrid Client Industry: Banking/Finance Duration: 12 – 18 months CTH About the Role We are hiring an Python/AI Engineer to join our client on a contract basis. This is a fantastic opportunity to work with one of the most innovative Banking companies in the U.S. What We’re Looking For: 7 / 8 years’ experience as Python Developer Strong API , SQL skills and preferably with AI, RAG pipeline experience (Conversational AI- any a…",115000.0
Agentic AI Engineer,BIZTECHNOSYS INFOTECH LLP,UNITED STATES,Chelsea And Clinton,148000.0,148000.0,USD,Onsite,Mid-level,"LangChain, RAG",2026-01-28,Adzuna,"Please share your updated resume to the e-mail. I can be reached at 702-570-0660 JD : Agentic AI Engineer Experience: 1-2 years Location: New York, NY, NJ, PA (Onsite) Design, Develop and Implement agentic ai application with orchestration and workflows using any framework like Langchain/Langraph/Google ADK, etc. Design, Develop and Implement RAG (Retrieval Augmented Generation) with proper word embeddings, chunks, versions using any vector db and framework Collaborate with data engineering tea…",148000.0
AI Engineer,Motion Recruitment Partners,UNITED STATES,Concord,134000.0,134000.0,USD,Hybrid,Mid-level,,2026-02-12,Adzuna,"AI Engineer CONCORD, California Hybrid Contract $79.81/hr - $87.47/hr Outstanding long-term contract opportunity! A well-known Financial Services Company is looking for an AI Engineer in Concord, CA (Hybrid). Work with the brightest minds at one of the largest financial institutions in the world. This is a long-term contract opportunity that includes a competitive benefit package! Our client has been around for over 150 years and is continuously innovating in today's digital age. If you want to…",134000.0
AI Engineer with Azure Databricks,Genesis10,UNITED STATES,Charlotte,100000.0,100000.0,USD,Hybrid,Senior,Azure,2026-02-03,Adzuna,"Genesis10 is seeking an AI Engineer with Azure Databricks with our financial services client in Charlotte, NC. This is a 6 month contract hybrid position. Summary: We are seeing a highly skilled senior AI Engineer to join our innovative team. The ideal candidate will be responsible for developing and deploying intelligent AI solutions using VS Code, Azure AI Studio, and Databricks. You will integrate AI powered solutions across multiple channels like Web applications, etc. Key Responsibilities:…",100000.0
AI Engineer with Security Clearance,Neuma Consulting LLC,UNITED STATES,"Washington, D.C.",124000.0,124000.0,USD,Remote,Mid-level,,2026-01-12,Adzuna,"AI Engineer Location: 60% Remote / 40% Onsite (Reston, VA or JB Anacostia–Bolling, Washington, DC) Clearance Required: Active TS/SCI (CI Polygraph preferred) Contract: Defense Intelligence Agency (DIA) | 5-year contract through 2030 About Neuma Consulting At Neuma Consulting LLC, we believe that inspired lives produce inspired solutions. As a minority-owned, mission-driven government consulting firm based in Northern Virginia, we partner with defense and intelligence agencies to revolutionize h…",124000.0
Startup-Full Stack AI Engineer-Build AI Glasses and More!,Jobot,UNITED STATES,Acton,98000.0,98000.0,USD,Remote,Mid-level,,2026-02-16,Adzuna,"Residential property management company seeks remote Accountant This Jobot Job is hosted by: Marcie Cassano Are you a fit? Easy Apply now by clicking the ""Apply"" button and sending us your resume. Salary: $75,000 - $95,000 per year A bit about us: Growing residential property management company Why join us? Opportunity for continued growth and promotion Performance based bonus Great work/life balance Medical, Dental, Vision 401k with matching Generous PTO and Holiday schedule Job Details Job De…",98000.0
Startup-Full Stack AI Engineer-Build AI Glasses and More!,Jobot,UNITED STATES,Santa Monica,130000.0,130000.0,USD,Remote,Lead,,2026-02-16,Adzuna,"VP of Investor Relations (Remote, TX) — Lead the Narrative for a $1B Energy Innovator Powering Hyperscale Data Centers This Jobot Job is hosted by: John Armel Are you a fit? Easy Apply now by clicking the ""Apply"" button and sending us your resume. Salary: $250,000 - $300,000 per year A bit about us: Our client, a leading player in the Energy industry, is seeking an experienced and dynamic professional to join our executive team as the Vice President of Investor Relations. This role is pivotal i…",130000.0
Generative AI Engineer with Security Clearance,OMW Consulting,UNITED STATES,"Washington, D.C.",147000.0,147000.0,USD,Onsite,Mid-level,,2025-08-01,Adzuna,"Role: Software Engineer - Genrative AI Location: Onsite - D.C Area Clearance Required: Active DoD Secret or Top Secret Salary: $200k-$250k Overview: A rapidly growing Generative AI platform supporting government and commercial teams is seeking a Generative AI Software Engineer to work closely with clients on-site. This role involves building AI agents and plugins, guiding full-scale deployments, and delivering mission-critical automation solutions. Key Responsibilities: Partner directly with cl…",147000.0
REMOTE AI Engineer,Insight Global,UNITED STATES,Tyler Park,117000.0,117000.0,USD,Remote,Mid-level,,2025-11-04,Adzuna,Job Description Insight Global is looking for an AI Engineer to join one of the world's leading financial institutions on a remote basis working EST hours. This person will be joining the Machine Learning and Artificial Intelligence team within their Enterprise Technology Operations group. This team is looking to build an Agentic AI solution that automates production support across the entire bank. The team is looking for AI engineers that have taken an existing AI Model and within their organi…,117000.0
